Sr.No,2.5% span length (mm),UR (%),Fineness (ug/inch),Bundle Strength (cN/tex),Trash content (%),Yarn Count (tex)
1,28.32,49.6,4.18,22.25,5.32,36.91
2,27.98,49.6,3.8,21.84,5.6,36.91
3,28.53,48,4.5,22.17,6.3,36.91
4,29.58,50,4.24,22.17,5.38,36.91
5,29.2,50.5,4.25,22.27,5.3,36.91
6,27.67,49,4.42,21.71,5.73,36.91
7,27.94,48.8,3.9,21.46,5.48,29.53
8,28.32,49.6,4.18,22.25,5.32,29.53
9,27.98,49.6,3.8,21.84,5.6,29.53
10,28.53,48,4.5,22.17,6.3,29.53
11,27.67,49,4.42,20.73,5.73,29.53
12,28.32,50.2,4.44,20.44,5.52,29.53
13,25.4,48,5.44,15.36,14.2,28.8
14,24.67,47.3,5.5,15.7,14.4,28.8
15,25.2,46,5,14.72,13.87,28.8
16,25.48,48,5.48,15.63,13.75,28.8
17,25.4,48,5.44,15.36,14.2,28.8
18,25.05,47.5,5.25,15.19,13.18,28.8
19,24.17,46.3,5.1,14.65,14.4,28.8
20,22.4,45.5,5.4,15.25,14.4,28.8
